fecha;uva;
16/07/2017;19,4600;
17/07/2017;19,4600;
18/07/2017;19,4800;
19/07/2017;19,4900;
20/07/2017;19,4900;
21/07/2017;19,5000;
22/07/2017;19,5100;
23/07/2017;19,5100;
24/07/2017;19,5100;
25/07/2017;19,5300;
26/07/2017;19,5400;
27/07/2017;19,5500;
28/07/2017;19,5500;
29/07/2017;19,5600;
30/07/2017;19,5600;
31/07/2017;19,5600;
01/08/2017;19,5800;
02/08/2017;19,5900;
03/08/2017;19,6000;
04/08/2017;19,6000;
05/08/2017;19,6100;
06/08/2017;19,6100;
07/08/2017;19,6100;
08/08/2017;19,6300;
09/08/2017;19,6400;
10/08/2017;19,6500;
11/08/2017;19,6500;
12/08/2017;19,6600;
13/08/2017;19,6600;
14/08/2017;19,6600;
15/08/2017;19,6800;
16/08/2017;19,6900;
17/08/2017;19,7000;
18/08/2017;19,7100;
19/08/2017;19,7200;
20/08/2017;19,7200;
21/08/2017;19,7200;
22/08/2017;19,7200;
23/08/2017;19,7700;
24/08/2017;19,7800;
25/08/2017;19,7900;
26/08/2017;19,8000;
27/08/2017;19,8000;
28/08/2017;19,8000;
29/08/2017;19,8300;
30/08/2017;19,8400;
31/08/2017;19,8500;
01/09/2017;19,8600;
02/09/2017;19,8700;
03/09/2017;19,8700;
04/09/2017;19,8700;
05/09/2017;19,9000;
06/09/2017;19,9200;
07/09/2017;19,9300;
08/09/2017;19,9400;
09/09/2017;19,9500;
10/09/2017;19,9500;
11/09/2017;19,9500;
12/09/2017;19,9800;
13/09/2017;19,9900;
14/09/2017;20,0000;
15/09/2017;20,0100;
16/09/2017;20,0200;
17/09/2017;20,0200;
18/09/2017;20,0200;
19/09/2017;20,0500;
20/09/2017;20,0600;
21/09/2017;20,0700;
22/09/2017;20,0800;
23/09/2017;20,0900;
24/09/2017;20,0900;
25/09/2017;20,0900;
26/09/2017;20,1200;
27/09/2017;20,1300;
28/09/2017;20,1400;
29/09/2017;20,1500;
30/09/2017;20,1600;
01/10/2017;20,1600;
02/10/2017;20,1600;
03/10/2017;20,1800;
04/10/2017;20,1900;
05/10/2017;20,2000;
06/10/2017;20,2100;
07/10/2017;20,2200;
08/10/2017;20,2200;
09/10/2017;20,2200;
10/10/2017;20,2200;
11/10/2017;20,2600;
12/10/2017;20,2700;
